categoryName;subcategoryName;lex;titleFr;titleEn;resp;effectiveDate;revisionDate;urlFr;urlEn;descriptionFr;descriptionEn;descFRHTML;descENHTML
Gouvernance;Domaine des EPF;1.0.1;Loi fédérale sur les écoles polytechniques fédérales;Federal Act on the Federal Institutes of Technology;Françoise Chardonnens;04.10.1991;01.05.2017;http://www.admin.ch/ch/f/rs/c414_110.html;http://www.admin.ch/opc/en/classified-compilation/19910256/index.html;La loi sur les EPF fixe tant les missions que l’organisation et l’autonomie des différentes Institutions du Domaine des EPF. Elle fonde notamment l’existence des 4 corps, à savoir le corps enseignant, les assistants-doctorants et collaborateurs scientifiques, les étudiants et le corps administratif et technique.;The FIT Act determines the missions and organisation and hence the autonomy of the different institutions of the EPF Domain. It establishes in particular the existence of the four bodies, namely teaching staff, doctoral assistants and scientific staff, students and administrative and technical staff.;La loi sur les EPF fixe tant les missions que l’organisation et l’autonomie des différentes Institutions du Domaine des EPF. Elle fonde notamment l’existence des 4 corps, à savoir le corps enseignant, les assistants-doctorants et collaborateurs scientifiques, les étudiants et le corps administratif et technique.;The FIT Act determines the missions and organisation and hence the autonomy of the different institutions of the EPF Domain. It establishes in particular the existence of the four bodies, namely teaching staff, doctoral assistants and scientific staff, students and administrative and technical staff.
Gouvernance;Domaine des EPF;1.0.2;Ordonnance sur le domaine des écoles polytechniques fédérales;Ordonnance sur le domaine des écoles polytechniques fédérales;Françoise Chardonnens;19.11.2003;01.05.2017;https://www.admin.ch/opc/fr/classified-compilation/20032108/index.html;https://www.admin.ch/opc/fr/classified-compilation/20032108/index.html;Cette ordonnance règle les détails d’application en lien direct avec la Loi sur les EPF.;This ordinance determines the details concerning application directly linked with the FIT Act.;Cette ordonnance règle les détails d’application en lien direct avec la Loi sur les EPF.;This ordinance determines the details concerning application directly linked with the FIT Act.
Gouvernance;Domaine des EPF;1.0.3;Ordonnance du Conseil des EPF sur les écoles polytechniques fédérales de Zurich et de Lausanne;Ordonnance du Conseil des EPF sur les écoles polytechniques fédérales de Zurich et de Lausanne;Françoise Chardonnens;13.11.2003;01.05.2009;https://www.admin.ch/opc/fr/classified-compilation/20031283/index.html;https://www.admin.ch/opc/fr/classified-compilation/20031283/index.html;Cette ordonnance règle le mandat et les règles d’organisation de l’EPFZ et de l’EPFL en lien direct avec la Loi sur les EPF.;This ordinance determines the mandate and rules concerning the organisation of the EPFZ and EPFL directly linked with the FIT Act.;Cette ordonnance règle le mandat et les règles d’organisation de l’EPFZ et de l’EPFL en lien direct avec la Loi sur les EPF.;This ordinance determines the mandate and rules concerning the organisation of the EPFZ and EPFL directly linked with the FIT Act.
Gouvernance;Organisation;1.1.1;Ordonnance sur l’organisation de l’Ecole polytechnique fédérale de Lausanne;Ordinance on the Organisation of the Ecole polytechnique fédérale de Lausanne;Françoise Chardonnens;01.03.2004;11.04.2019;https://www.epfl.ch/about/overview/wp-content/uploads/2019/09/1.1.1_o_organisation_EPFL_fr.pdf;https://www.epfl.ch/about/overview/wp-content/uploads/2019/09/1.1.1_o_organisation_EPFL_an.pdf;"Cette ordonnance définit la structure de l’Ecole polytechnique fédérale de Lausanne (EPFL), l’organisation et les compétences décisionnelles de sa Direction, de ses facultés, de ses collèges et de ses organes centraux. Pour une vue synoptique du périmètre de l’EPFL, cliquez ici. (https://polylex.epfl.ch/wp-content/uploads/2019/01/LEX-1.1.1_annexe0_.pdf)

Toute modification de la structure organisationnelle(http://www.epfl.ch/organigrammes/displayunit.do?acronym=EPFL&lang=fr) de l’EPFL fait l’objet d’une décision de la Direction de l’EPFL. Vous trouverez tous les renseignements concernant l’accréditation et la gestion des unités sur ce site (http://unites.epfl.ch/).

- Annexe 1: Schéma organisationnel EPFL (https://polylex.epfl.ch/wp-content/uploads/2019/01/LEX-1.1.1_annexe1.pdf)

- Annexe 2: Centres (https://polylex.epfl.ch/wp-content/uploads/2019/01/LEX-1.1.1_annexe2.pdf)

Description des processus pour les prises de décision de la Direction de l’EPFL:

Processus détaillés (pdf) (https://polylex.epfl.ch/wp-content/uploads/2019/01/1.1.1_Processus_Decision_Direction_EPFL.pdf)
Diagramme et descriptifs Visio (pdf) (https://polylex.epfl.ch/wp-content/uploads/2019/01/1.1.1_Processus_decision_Direction_EPFL_visio.pdf)
L’utilisation du logo de l’EPFL (https://www.epfl.ch/campus/services/communication/identite-visuelle/logo/) doit suivre les règles définies par Mediacom (http://mediacom.epfl.ch/). Il inclut impérativement le sigle et la dénomination en toutes lettres, placée en dessous de celui-ci. Ces deux éléments sont indissociables. A l’exception d’unités ou de projets qui découlent de partenariats externes, le logo de l’EPFL est le seul logo officiel au sein de l’institution. On ne peut lui adjoindre un autre logo spécifique à une unité.";"This ordinance defines the structure of the Ecole polytechnique fédérale de Lausanne (EPFL), the organisation and decision-making powers of its Direction, Schools, Colleges and central services. For a synoptic view of the EPFL perimeter, click here. (https://polylex.epfl.ch/wp-content/uploads/2019/01/LEX-1.1.1_annexe0_.pdf)
Any changes in the organisational structure of EPFL (http://www.epfl.ch/organigrammes/displayunit.do?acronym=EPFL&lang=en) are subject to a decision made by the EPFL Direction. You will find all the information concerning the accreditation and management of the units on this site. (http://unites.epfl.ch/)

Annex 1: EPFL organization (https://polylex.epfl.ch/wp-content/uploads/2019/01/LEX-1.1.1_annexe1_EN.pdf)

Annex 2: Centers (https://polylex.epfl.ch/wp-content/uploads/2019/01/LEX-1.1.1_annexe2_EN.pdf)

Description of the process for decision-making by EPFL Direction:

Detailed process (pdf) (https://polylex.epfl.ch/wp-content/uploads/2019/01/LEX-1.1.1_annexeprocessus1_EN.pdf)
Descriptive Visio charts (pdf) (https://polylex.epfl.ch/wp-content/uploads/2019/01/LEX-1.1.1_annexeprocessus2_EN.pdf)
Use of the EPFL logo must comply with the rules defined by Mediacom (https://www.epfl.ch/about/news-and-media/). It must include the acronym and the designation in full, placed underneath the latter. These two elements are indissociable. With the exception of units or projects resulting from external partnerships, the EPFL logo (https://www.epfl.ch/campus/services/en/communication-en/visual-identity/logotype/) is the institution’s only official logo. No other logo, specific to a particular unit, can be used in conjunction with it.";"<p>Cette ordonnance d&eacute;finit la structure de l&rsquo;Ecole polytechnique f&eacute;d&eacute;rale de Lausanne (EPFL), l&rsquo;organisation et les comp&eacute;tences d&eacute;cisionnelles de sa Direction, de ses facult&eacute;s, de ses coll&egrave;ges et de ses organes centraux. Pour une vue synoptique du p&eacute;rim&egrave;tre de l&rsquo;EPFL, cliquez <a href=""https://polylex.epfl.ch/wp-content/uploads/2019/01/LEX-1.1.1_annexe0_.pdf"">ici</a>.</p>
<p>Toute modification de la <a href=""http://www.epfl.ch/organigrammes/displayunit.do?acronym=EPFL&amp;lang=fr"">structure organisationnelle</a> de l&rsquo;EPFL fait l&rsquo;objet d&rsquo;une d&eacute;cision de la Direction de l&rsquo;EPFL. Vous trouverez tous les renseignements concernant l&rsquo;accr&eacute;ditation et la gestion des unit&eacute;s sur <a href=""https://unites.epfl.ch"">ce site</a>.</p>
<p>- Annexe 1: <a href=""https://polylex.epfl.ch/wp-content/uploads/2019/01/LEX-1.1.1_annexe1.pdf"">Sch&eacute;ma organisationnel EPFL</a> </p>
<p>- Annexe 2: <a href=""https://polylex.epfl.ch/wp-content/uploads/2019/01/LEX-1.1.1_annexe2.pdf)"">Centres</a> </p>
<p>Description des processus pour les prises de décision de la Direction de l&rsquo;EPFL:</p>
<p><a href=""https://polylex.epfl.ch/wp-content/uploads/2019/01/1.1.1_Processus_Decision_Direction_EPFL.pdf"">Processus d&eacute;taill&eacute;s</a> (pdf)<br /><a href=""https://polylex.epfl.ch/wp-content/uploads/2019/01/1.1.1_Processus_decision_Direction_EPFL_visio.pdf"">Diagramme et descriptifs Visio</a> (pdf) <br />L&rsquo;utilisation du <a href=""https://www.epfl.ch/campus/services/communication/identite-visuelle/logo"">logo de l&rsquo;EPFL</a>&nbsp; doit suivre les r&egrave;gles d&eacute;finies par <a href=""https://mediacom.epfl.ch"">Mediacom</a>. Il inclut imp&eacute;rativement le sigle et la d&eacute;nomination en toutes lettres, plac&eacute;e en dessous de celui-ci. Ces deux &eacute;l&eacute;ments sont indissociables. A l&rsquo;exception d&rsquo;unit&eacute;s ou de projets qui d&eacute;coulent de partenariats externes, le logo de l&rsquo;EPFL est le seul logo officiel au sein de l&rsquo;institution. On ne peut lui adjoindre un autre logo sp&eacute;cifique &agrave; une unit&eacute;.</p>";"<p>This ordinance defines the structure of the Ecole polytechnique f&eacute;d&eacute;rale de Lausanne (EPFL), the organisation and decision-making powers of its Direction, Schools, Colleges and central services. For a synoptic view of the EPFL perimeter, click <a href=""https://polylex.epfl.ch/wp-content/uploads/2019/01/LEX-1.1.1_annexe0_.pdf"">here</a>. <br />Any changes in the <a href=""http://www.epfl.ch/organigrammes/displayunit.do?acronym=EPFL&amp;lang=en"">organisational structure of EPFL</a>&nbsp; are subject to a decision made by the EPFL Direction. You will find all the information concerning the accreditation and management of the units <a href=""https://unites.epfl.ch"">on this site</a>. </p>
<p>Annex 1: <a href=""https://polylex.epfl.ch/wp-content/uploads/2019/01/LEX-1.1.1_annexe1_EN.pdf"">EPFL organization</a> </p>
<p>Annex 2: <a href=""https://polylex.epfl.ch/wp-content/uploads/2019/01/LEX-1.1.1_annexe2_EN.pdf"">Centers</a> </p>
<p>Description of the process for decision-making by EPFL Direction:</p>
<p><a href=""https://polylex.epfl.ch/wp-content/uploads/2019/01/LEX-1.1.1_annexeprocessus1_EN.pdf"">Detailed process</a> (pdf) <br /><a href=""https://polylex.epfl.ch/wp-content/uploads/2019/01/LEX-1.1.1_annexeprocessus2_EN.pdf"">Descriptive Visio charts</a> (pdf) <br />Use of the EPFL logo must comply with the rules defined by <a href=""https://www.epfl.ch/about/news-and-media"">Mediacom</a>. It must include the acronym and the designation in full, placed underneath the latter. These two elements are indissociable. With the exception of units or projects resulting from external partnerships, <a href=""https://www.epfl.ch/campus/services/en/communication-en/visual-identity/logotype"">the EPFL logo</a> is the institution&rsquo;s only official logo. No other logo, specific to a particular unit, can be used in conjunction with it.</p>"
Gouvernance;Organisation;1.1.2;Directive concernant les procédures de consultation au sein de l'EPFL ;Directive on Consultation Procedures within EPFL;Françoise Chardonnens;01.01.2002;01.01.2017;https://www.epfl.ch/about/overview/wp-content/uploads/2019/09/1.1.2_dir_procedure_consultation_fr.pdf;https://www.epfl.ch/about/overview/wp-content/uploads/2019/09/1.1.2_dir_procedure_consultation_an.pdf;Cette directive indique quels textes légaux doivent faire l’objet d’une consultation et indique la marche à suivre pour faire des consultations dans l’EPFL.;This directive indicates which EPFL legal texts must form the subject of consultation and explains the procedure to be followed for consultations carried out at EPFL or in the Schools.;Cette directive indique quels textes légaux doivent faire l’objet d’une consultation et indique la marche à suivre pour faire des consultations dans l’EPFL.;This directive indicates which EPFL legal texts must form the subject of consultation and explains the procedure to be followed for consultations carried out at EPFL or in the Schools.
Gouvernance;Organisation;1.1.6;Règlement Polylex (technique législative);"Rules and Regulations concerning Polylex
(legislative technique) ";Françoise Chardonnens;15.07.2011;27.08.2018;https://www.epfl.ch/about/overview/wp-content/uploads/2019/09/1.1.6_R_Polylex_fr.pdf;https://www.epfl.ch/about/overview/wp-content/uploads/2019/09/1.1.6_R_Polylex_en.pdf;Ce règlement précise les normes de gestion applicables pour la création, la révision, la publication et la surveillance des ordonnances, règlements, directives et dispositifs approuvés par la Direction de l’EPFL.;These regulations specify the management standards applicable for the creation, amendment, publication and monitoring of ordinances, regulations, directives and provisions approved by the EPFL Direction.;Ce règlement précise les normes de gestion applicables pour la création, la révision, la publication et la surveillance des ordonnances, règlements, directives et dispositifs approuvés par la Direction de l’EPFL.;These regulations specify the management standards applicable for the creation, amendment, publication and monitoring of ordinances, regulations, directives and provisions approved by the EPFL Direction.
Gouvernance;Organisation;1.1.7;Tax ruling EPFL (Genève);Tax ruling EPFL (Genève);Françoise Chardonnens;23.05.2013;23.05.2013;https://www.epfl.ch/about/overview/wp-content/uploads/2019/09/1.1.7-Ruling-EPFL-Geneve.pdf;https://www.epfl.ch/about/overview/wp-content/uploads/2019/09/1.1.7-Ruling-EPFL-Geneve.pdf;Exonération de l’Ecole polytechnique fédérale de Lausanne (EPFL) en matière d’impôts sur les successions et sur les donations.;Exemption of the Ecole polytechnique fédérale de Lausanne (EPFL) from inheritance and gift tax.;Exonération de l’Ecole polytechnique fédérale de Lausanne (EPFL) en matière d’impôts sur les successions et sur les donations.;Exemption of the Ecole polytechnique fédérale de Lausanne (EPFL) from inheritance and gift tax.
Gouvernance;Organisation;1.1.8;Tax ruling EPFL (Vaud);Tax ruling EPFL (Vaud);Françoise Chardonnens;10.06.2013;10.06.2013;https://www.epfl.ch/about/overview/wp-content/uploads/2019/09/1.1.7-Ruling-EPFL-Vaud-.pdf;https://www.epfl.ch/about/overview/wp-content/uploads/2019/09/1.1.7-Ruling-EPFL-Vaud-.pdf;Exonération de l’Ecole polytechnique fédérale de Lausanne (EPFL) en matière d’impôts sur les successions et sur les donations.;Exemption of the Ecole polytechnique fédérale de Lausanne (EPFL) from inheritance and gift tax.;Exonération de l’Ecole polytechnique fédérale de Lausanne (EPFL) en matière d’impôts sur les successions et sur les donations.;Exemption of the Ecole polytechnique fédérale de Lausanne (EPFL) from inheritance and gift tax.
Gouvernance;Facultés, Collèges et plateformes;1.2.1;Directive concernant les Conseils de faculté;Directive on School Councils;Françoise Chardonnens;28.03.2015;01.01.2017;https://www.epfl.ch/about/overview/wp-content/uploads/2019/09/1.2.1_dir_conseil_facult_fr-1.pdf;https://www.epfl.ch/about/overview/wp-content/uploads/2019/09/1.2.1_dir_conseil_facult_an.pdf;Cette directive règle la composition et la compétence des Conseils de faculté, respectivement collèges.;This directive determines the composition and competences of the School Councils.;Cette directive règle la composition et la compétence des Conseils de faculté, respectivement collèges.;This directive determines the composition and competences of the School Councils.
Gouvernance;Facultés, Collèges et plateformes;1.2.8;Règlement d’organisation du Collège des humanités de l’EPFL (CDH);Rules and Regulations concerning the Organisation of the College of Humanities (CDH);Françoise Chardonnens;07.05.2018;07.05.2018;https://www.epfl.ch/about/overview/wp-content/uploads/2019/09/1.2.8_r_organisation_cdh_fr.pdf;https://www.epfl.ch/about/overview/wp-content/uploads/2019/09/1.2.8_r_organisation_cdh_an.pdf;"Le présent règlement définit la structure et l’organisation du Collège des humanités (CDH) de l’EPFL et règle les compétences et les tâches de ses organes.
Il définit également les commissions, les conférences de groupe et l’assemblée générale.";"These rules and regulations define the structure and organisation of the EPFL College of Humanities (CDH) and determine the competences and tasks of its bodies.
They also define the Committees and General Assembly.";"Le présent règlement définit la structure et l’organisation du Collège des humanités (CDH) de l’EPFL et règle les compétences et les tâches de ses organes.
Il définit également les commissions, les conférences de groupe et l’assemblée générale.";"These rules and regulations define the structure and organisation of the EPFL College of Humanities (CDH) and determine the competences and tasks of its bodies.
They also define the Committees and General Assembly."
